Working Electrode vs. NHE (V),Current (A),Working Electrode vs. NHE (V),Current (A),Working Electrode vs. NHE (V),Current (A),Working Electrode vs. NHE (V),Current (A),Working Electrode vs. NHE (V),Current (A),Working Electrode vs. NHE (V),Current (A)
0.459195256233215,0.0007075234898366,0.459186255931854,0.0008880080422386,0.459216386079788,0.0010129153961315,0.459230303764343,0.0011281749466434,0.459248453378677,0.0012666163966059,0.459263741970062,0.0014211642555892
0.458197176456451,0.0006672893650829,0.458184868097305,0.0008221654570661,0.458220958709717,0.0008899301756173,0.458247125148773,0.0009542035986669,0.458266884088516,0.001045532641001,0.458316504955292,0.0011578033445403
0.457183599472046,0.0006392729119397,0.457181990146637,0.0007868905668146,0.457214951515198,0.0008344127563759,0.457240283489227,0.0008746632956899,0.457264125347137,0.000945453881286,0.457338184118271,0.0010373924160376
0.456178307533264,0.0006139145116321,0.456178277730942,0.0007562889950349,0.456210792064667,0.0007915235473774,0.456234246492386,0.0008184003527276,0.456263393163681,0.0008739251643419,0.456347554922104,0.0009527557413093
0.455181658267975,0.0005906133446842,0.455170154571533,0.0007290060748346,0.455213099718094,0.0007548881694674,0.45432522892952,0.0007351223612204,0.45526248216629,0.0008178833522833,0.455363482236862,0.0008844386320561
0.454182296991348,0.0005688071832992,0.454168349504471,0.0007037697941996,0.454216420650482,0.0007221366977319,0.453234612941742,0.0006956564611755,0.453273892402649,0.000728063751012,0.45437616109848,0.0008278785389848
0.45318391919136,0.0005488433525897,0.453177839517593,0.0006804396398365,0.453209429979324,0.000692484434694,0.452242255210876,0.0006619353662244,0.452258229255676,0.0006867139600217,0.453389883041382,0.000778131885454
0.452187865972519,0.0005292549612931,0.452178806066513,0.0006584316142834,0.452203989028931,0.0006645017419941,0.451235949993134,0.0006306990399025,0.451255679130554,0.000650675559882,0.452408581972122,0.000733726308681
0.451190739870071,0.0005109903868287,0.451174795627594,0.000637587334495,0.451199144124985,0.0006387747707776,0.450232416391373,0.0006016712868586,0.450246125459671,0.000617888639681,0.451427608728409,0.0006928272778168
0.450180500745773,0.0004936436307616,0.450169175863266,0.0006176631432026,0.450199604034424,0.0006140668992884,0.449231058359146,0.0005749799311161,0.449246138334274,0.0005851020687259,0.450441360473633,0.0006546577787958
0.449176400899887,0.0004772637912537,0.449167340993881,0.0005993054946884,0.449195057153702,0.0005915232468396,0.448228716850281,0.0005491176852956,0.448246270418167,0.0005578168784268,0.449454069137573,0.0006200851057656
0.448166847229004,0.0004616793885361,0.448162138462067,0.0005817563505843,0.448190361261368,0.0005698768072761,0.447224110364914,0.0005253382259979,0.447241693735123,0.0005287769599817,0.448466926813126,0.0005865893908776
0.447171419858932,0.0004467987164389,0.447164446115494,0.0005645407363772,0.44719073176384,0.0005494728102348,0.446220129728317,0.0005027247825637,0.446242213249207,0.0005033681518398,0.447485983371735,0.0005567428888753
0.446168959140778,0.0004325179324951,0.446154206991196,0.0005486416630446,0.446186363697052,0.0005307090468704,0.445228517055511,0.0004812840488739,0.445246875286102,0.0004801931499969,0.446493834257126,0.0005264228093437
